;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;eWheels - km/h;;-;20 km/h;24 km/h;24 km/h;;37 km/h;37 km/h;37 km/h;???;;30 km/h;30 km/h;30 km/h;40 km/h;;30 km/h;35 km/h;35 km/h;35 km/h;40 km/h;40 km/h;48 km/h;50 km/h;;45 km/h;45 km/h;50 km/h;56 km/h;64 km/h;64 km/h;64 km/h;64 km/h;70 km/h;70 km/h;;50 km/h;50 km/h;55 km/h;#V�RDEFEL!;???;64 km/h;72 km/h;80 km/h;80 km/h;;50 km/h;50 km/h;60 km/h;64 km/h;56 km/h;64 km/h;;???;72 km/h;???;72 km/h;72 km/h;72 km/h;;80 km/h;75,8 km/h;75,8 km/h;90 km/h;61 km/h;72 km/h;;;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MF - mph;;12,4 mph;12,5 mph;15 mph;15,6 mph;;-;-;-;-;;18,6 mph;18,6 mph;18,6 mph;-;;18,6 mph;21,7 mph;21,7 mph;21,7 mph;24,9 mph;24,9 mph;-;-;;28 mph;31,1 mph;31,1 mph;-;-;-;-;-;37,5 mph;43,5 mph;;31,1 mph;31,1 mph;34,2 mph;-;-;-;43,5 mph;-;-;;31,1 mph;31,1 mph;-;-;-;-;;-;-;-;-;-;;;-;-;-;55,9 mph;-;-;;;16 mph;18 mph;19 mph;20 mph;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MF - km/h;;20 km/h;20,1 km/h;24 km/h;25 km/h;;-;-;-;-;;30 km/h;30 km/h;30 km/h;-;;30 km/h;35 km/h;35 km/h;35 km/h;40 km/h;40 km/h;-;-;;45 km/h;50 km/h;50 km/h;-;-;-;-;-;60 km/h;70 km/h;;50 km/h;50 km/h;55 km/h;-;-;-;70 km/h;-;-;;50 km/h;50 km/h;-;-;-;-;;-;-;-;-;-;;;-;-;-;90 km/h;-;-;;;25,7 km/h;29 km/h;30,6 km/h;32,2 km/h;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No Load Speed;MF - mph;;-;-;-;-;;-;31,1 mph;31,1 mph;???;;-;-;-;?32.9 mph;;-;-;-;-;-;-;41 mph;42,3 mph;;-;-;-;42,3 mph;-;47,8 mph;47,8 mph;47,8 mph;-;-;;-;-;-;?53.4 mph;???;???;65,2 mph;69,6 mph;69,6 mph;;-;-;49,7 mph;-;49,1 mph;60,3 mph;;???;65,2 mph;???;???;62,1 mph;?60 mph;;62,1 mph;75,8 mph;75,8 mph;87 mph;54,7 mph;?65.9 mph;;;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MF- km/h;;-;-;-;-;;-;50 km/h;50 km/h;???;;-;-;-;?53 km/h;;-;-;-;-;-;-;66 km/h;68 km/h;;-;-;-;68 km/h;-;77 km/h;77 km/h;77 km/h;-;-;;-;-;-;?86 km/h;???;???;105 km/h;112 km/h;112 km/h;;-;-;80 km/h;-;79 km/h;97 km/h;;???;105 km/h;???;???;100 km/h;?98 km/h;;100 km/h;122 km/h;122 km/h;140 km/h;88 km/h;?106 km/h;;;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Motor Power;;;500 W;500 W;500 W;550 W;;800 W;800 W;800 W;1000 W;;800 W;800 W;800 W;1500 W;;800 W;1000 W;1000 W;1200 W;1800 W;2000 W;1900 W;2000 W;;1800 W;2200 W;2200 W;2000 W;2000 W;2000 W;2000 W;2000 W;2800 W;2500 W;;2200 W;2200 W;2200 W;3500 W;2800 W;2800 W;3300 W;3500 W;3500 W;;2000 W;2200 W;2500 W;2000 W;2600 W;2600 W;;2800 W;2800 W;2800 W;2800 W;2500 W;2800 W;;3500 W;4500 W;4500 W;4500 W;2500 W;3500 W;;;750 W;750 W;750 W;750 W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
System Voltage;;;67,2 V;63 V;63 V;84 V;;67,2 V;84 V;84 V;84 V;;67,2 V;67,2 V;67,2 V;84 V;;84 V;84 V;84 V;67,2 V;84 V;84 V;84 V;84 V;;58,8 V;84 V;84 V;84 V;100,8 V;100,8 V;100,8 V;100,8 V;100,8 V;100,8 V;;84 V;84 V;84 V;100,8 V;100,8 V;100,8 V;126 V;134,4 V;134,4 V;;84 V;84 V;100,8 V;100,8 V;100,8 V;100,8 V;;100,8 V;100,8 V;100,8 V;100,8 V;100,8 V;100,8 V;;100,8 V;134,4 V;134,4 V;126 V;100,8 V;100,8 V;;;63 V;???;63 V;?76 V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Battery;Capacity;;174 Wh;310 Wh;310 Wh;320 Wh;;420 Wh;460 Wh;512 Wh;?600 Wh;;340 Wh;420 Wh;840 Wh;800 Wh;;480 Wh;518 Wh;728 Wh;840 Wh;650+ Wh;960 Wh;1020 Wh;1500 Wh;;995 Wh;777 Wh;1554 Wh;2100 Wh;1845 Wh;1800 Wh;1496 Wh;2700 Wh;1750 Wh;1750 Wh;;1110 Wh;903 Wh;1500 Wh;2700 Wh;1800 Wh;1800 Wh;2220 Wh;1920 Wh;2400 Wh;;1036 Wh;1554 Wh;1800 Wh;1800 Wh;1800 Wh;1800 Wh;;2700 Wh;2700 Wh;3600 Wh;3600 Wh;3200 Wh;3600 Wh;;2700 Wh;3840 Wh;4800 Wh;3024 Wh;1845 Wh;3600 Wh;;;147 Wh;???;324 Wh;???;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
