;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;0,5;0,5;0,7;0,7;;;;;0,7;;;0,7;;;;0,5;0,5;0,7;;0,7;;;;;;0,5;;0,7;0,7;;;;;;;;0,5;0,7;0,7;0,7;0,7;;;;;;0,7;;;;;;;0,7;0,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[WIP];UtWh;;;;;;;;;;;;170 Wh;210 Wh;588 Wh;560 Wh;;;;;588 Wh;;;714 Wh;;;;389 Wh;777 Wh;1470 Wh;;1260 Wh;;;;;;555 Wh;;1050 Wh;1890 Wh;;;;;;;;777 Wh;1260 Wh;1260 Wh;1260 Wh;1260 Wh;;;;;;2240 Wh;;;;;;;1292 Wh;2520 Wh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Cell Config.;;16s1p;15s2p;15s2p;20s2p;;16s2p;20s2p;20s2p;???;;16s2p;16s2p;16s4p;20s3p;;20s2p;20s2p;20s2p;16s4p;20s4p;20s4p;20s4p;20s4p;;14s6p;20s3p;20s6p;20s8p;24s6p;24s4p;24s4p;24s6p;24s4p;24s4p;;20s3p;20s3p;20s4p;24s6p;24s4p;24s4p;30s4p;4x8s4p;4x8s4p;;20s4p;20s6p;24s4p;24s4p;24s4p;24s4p;;24s6p;24s6p;24s8p;24s8p;24s10p;24s8p;;24s6p;???;???;?30s8p;24s6p;24s8p;;;15s1p;???;15s2p;?18s2p;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Cell Count;;16�18650;30�18650;30�18650;40�18650;;32�18650;40�18650;40�18650;?�21700;;32�18650;32�18650;64�18650;60�18650;;40�18650;40�18650;40�21700;64�18650;80�18650;80�18650;80�18650;80�21700;;84�18650;60�18650;120�18650;160�18650;144�18650;96�21700;96�21700;144�21700;96x21700;96x21700;;60�21700;60�21700;80�21700;144�21700;96�21700;96�21700;120�21700;128�21700;128�21700;;80�18650;120�18650;96�21700;96�21700;96�21700;96�21700;;144�21700;144�21700;192�21700;192�21700;240�18650;192�21700;;144�21700;?�21700;?�21700;240�18650;144�18650;192�21700;;;15�18650;???;30�18650;?36�21700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;OEM Cells;;-;-;-;-;;;Pan BD;Pan-San GA;???;;Pan PF;LG MJ1;LG MJ1;Pan-San GA;;LG MH1;LG MJ1;LG M50T;?LG MJ1;"BAK WA/
EVE 26V";LG MH1;Pan-San GA;"LG M50T/
Sam 50G";;;?LG MJ1;?LG MJ1;Pan-San GA;Pa NCR GA;LG M50T;-;?LG M50T;"?LG M50T/
Sam 50G / EVE";"?LG M50T/
Sam 50G / EVE";;LG M50T;-;"LG M50T/
Sam 50G";LG M50T;???;LG M50LT;LG M50LT;???;???;;?LG MJ1;LG MJ1;LG M50T;LG M50T;LG M50T;LG M50T;;"LG M50T/
Sam 50G";"LG M50T/
Sam 50G";?LG M50T;LG M50LT;Pan-San GA;Sam 50E;;Sam 50E;?Sam 40T;?Sam 50E;???;Pan-San GA;LG M50T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;eWheels Cells;;;;;-;;;-;-;LiTech - Sam 40T;;;-;-;-;;;-;-;-;-;-;;LiTech - Sam 50E;;;-;-;;;-;"LiTech -
Molicel P42a";-;-;-;;-;"LiTech -
Molicel P42a";-;-;???;LiTech - Sam 50E;-;LiTech - Sam 40T;LiTech - Sam 50E;;;-;;;?LiTech - Sam 50E;?LiTech - Sam 50E;;LiTech - Sam 50E;LiTech - Sam 50E;LiTech - Sam 50E;LiTech - Sam 50E;-;-;;-;?LiTech - Sam 40T;?LiTech - Sam 50E;-;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Range (Est.);25 Wh/mi;;7 mi;12 mi;12 mi;13 mi;;17 mi;18 mi;20 mi;?24 mi;;14 mi;17 mi;34 mi;32 mi;;19 mi;21 mi;29 mi;34 mi;26 mi;38 mi;41 mi;60 mi;;40 mi;31 mi;62 mi;84 mi;74 mi;72 mi;60 mi;108 mi;70 mi;70 mi;;44 mi;36 mi;60 mi;108 mi;72 mi;72 mi;89 mi;77 mi;96 mi;;41 mi;62 mi;72 mi;72 mi;72 mi;72 mi;;108 mi;108 mi;144 mi;144 mi;128 mi;144 mi;;108 mi;154 mi;192 mi;121 mi;74 mi;144 mi;;;6 mi;???;13 mi;???;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;~15.5 Wh/km;;11 km;20 km;20 km;21 km;0 km;27 km;30 km;33 km;?39 km;0 km;22 km;27 km;54 km;51 km;0 km;31 km;33 km;47 km;54 km;42 km;62 km;66 km;97 km;0 km;64 km;50 km;100 km;135 km;119 km;116 km;96 km;174 km;113 km;113 km;0 km;71 km;58 km;97 km;174 km;116 km;116 km;143 km;124 km;154 km;;67 km;100 km;116 km;116 km;116 km;116 km;;174 km;174 km;232 km;232 km;206 km;232 km;;174 km;247 km;309 km;195 km;119 km;232 km;;;9 km;???;21 km;???;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;eWheels;;-;16 mi;16 mi;16 mi;;-;25-30 mi;25-30 mi;???;;15-20 mi;15-20 mi;30-40 mi;40 mi;;20-25 mi;22 mi;38 mi;35-40 mi;30-40 mi;30-40 mi;40-50 mi;60 mi;;50 mi;-;65 mi;70-100 mi;70 mi;70-100 mi;???;-;70 mi;70 mi;;44,5 mi;???;57 mi;???;70 mi;70 mi;85 mi;???;89 mi;;40 mi;70 mi;60 mi;60 mi;60 mi;60 mi;;100 mi;100 mi;144 mi;144 mi;128 mi;144 mi;;100 mi;???;???;???;74 mi;144 mi;;;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"[""^"" = ""up to""]";MF - mi;;;15 mi;18 mi;21.8-25 mi;;;;19-31 mi;;;19-25 mi;25-31 mi;43-50 mi;^43 mi;;28-31 mi;34 mi;;47 mi;43,5 mi;55.5-62.5 mi;^56 mi;;;56 mi;;;^99 mi;^99 mi;^99 mi;;;;;;68 mi;;75 mi;?93-143 mi;;;;;;;;;^93 mi;^93 mi;62-99 mi;62-99 mi;;;;;;;;;;;;;^99 mi;?124-186 mi;;;6-8 mi;;12-18 mi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MF - km;;;24 km;30 km;35-40 km;;;;30-50 km;;;30-40 km;40-50 km;70-80 km;^70 km;;45-50 km;55 km;;75 km;70 km;90-100 km;^90 km;;;90 km;;;^160 km;^160 km;^160 km;;;;;;110 km;;120 km;?150-230 km;;;;;;;;;^150 km;^150 km;100-160 km;100-160 km;;;;;;;;;;;;;^160 km;?200-300 km;;;10-13 km;;19-29 km;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Weight;eWheels;;-;25 lb;25 lb;26,2 lb;;-;22 lb;-;;;30 lb;30 lb;34 lb;37 lb;;30 lb;32 lb;;38,5 lb;45,4 lb;45,4 lb;42 lb;???;;53 lb;???;51,8 lb;60,4 lb;56,4 lb;56,4 lb;;;???;???;;48,5 lb;;59,5 lb;???;;;;;;;48,5 lb;53 lb;54,7 lb;54,7 lb;59,5 lb;59,5 lb;;???;???;;;77 lb;;;;;;;60 lb;???;;;-;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Weight;MF - lb;;28,7 lb;25 lb;25,1 lb;26,2 lb;;-;24,3 lb;24,3 lb;28,7 lb;;30 lb;32 lb;35,7 lb;37,5 lb;;29,8 lb;32 lb;33,1 lb;38,4 lb;45,4 lb;45,4 lb;41,9 lb;48,5 lb;;52,9 lb;47,4 lb;53,8 lb;-;???;57,3 lb;???;65 lb;65,5 lb;63,9 lb;;55,1 lb;???;59,5 lb;?83.8 lb;80,5 lb;80,5 lb;77,2 lb;82,7 lb;82,7 lb;;47,6 lb;56 lb;55,1 lb;55,1 lb;59,5 lb;59,5 lb;;72,8 lb;72,8 lb;?85 lb;?85 lb;77,2 lb;?86 lb;;97 lb;117,9 lb;117,9 lb;110,2 lb;63,9 lb;88,2 lb;;;23 lb;27 lb;27 lb;35 lb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
